
abdicate	equivalent	painstaking
abolish	erode	pardon
absurd	erupt	pasture
accelerate	escalate	patient
access	establish	pedestrian
accommodate	evade	penetrate
accomplish	evident	perish
accurate	exasperate	petrify
accustom	excavate	pledge
afflict	exert	population
aggressive	expand	portrait
agony	expel	predict
alert	experiment	prelude
altitude	export	premature
ample	extinct	preserve
ancestor	extract	previous
animated	exult	prey
anxious	famine	primitive
approximate	fascinate	proceed
aroma	feeble	proclaim
ascend	ferocious	prohibit
assemble	fertile	prone
assign	flail	prosper
associate	flee	protrude
assume	flimsy	provide
available	foolhardy	provoke
avalanche	formal	puny
banquet	former	purchase
barren	fracture	pursue
bask	frigid	reassure
betray	frivolous	rebel
beverage	fume	refuge
bland	gale	reign
blizzard	gigantic	reluctant
boisterous	gorge	remote
bondage	grim	require
brace	guardian	resemble
brilliant	hangar	restrict
brittle	harbor	resume
budge	harsh	retain
bungle	harvest	retire
burden	heroic	revert
burly	hew	revive
carcass	hilarious	ridicule
cargo	hoist	rigid
carnivore	horizon	riot
cask	hostile	ripple
catapult	huddle	rouse
celebrate	idle	route
challenge	illuminate	saunter
character	immense	scald
cluster	indignant	seldom
colony	inflict	sensation
combine	intense	sever
companion	intercept	significant
compassion	introduce	slither
compatible	investigate	sluggish
compensate	jest	snout
comply	jostle	soar
comprehend	jubilation	solitary
conceal	jubilee	solo
concept	kin	somber
confident	liberate	sparse
conquer	likeness	spectator
consist	loathe	stall
consume	lumber	steadfast
contact	lurch	stimulate
convalesce	lure	stupendous
convince	major	subsequent
course	makeshift	substantial
crave	maximum	suffocate
crevice	meager	summit
cultivate	meddle	superior
cumbersome	methodical	survive
decade	mimic	suspend
decline	minor	taper
decrease	mirth	task
dedicate	mischief	taunt
delicate	molten	teem
denounce	monstrous	tempest
dense	moral	terminate
depart	morsel	terse
deposit	navigation	thwart
despair	negotiate	tolerant
desperate	nonchalant	topple
destination	nostalgia	transform
deteriorate	notable	translate
dictate	numerous	tremor
disaster	oasis	tropical
distract	obedient	unwieldy
distress	obscure	upbringing
dominate	obsolete	urban
donate	obstacle	vertical
dormant	occasion	visible
drought	oppose	vow
duration	optimist	voyage
edible	option	waddle
elegant	outskirts	wilderness
employ	overdue	wither
encounter	overthrow	yearn
